"Statistic Label","Quarter","Economic Sector NACE Rev 2","Type of Employee","UNIT","VALUE"
"Employment","2011Q2","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2011Q3","Construction (F)","All employees","Number","63100"
"Employment","2011Q3","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2011Q3","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2011Q3","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2011Q4","Construction (F)","All employees","Number","63100"
"Employment","2011Q4","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2011Q4","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2011Q4","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2012Q1","Construction (F)","All employees","Number","59400"
"Employment","2012Q1","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2012Q1","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2012Q1","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2012Q2","Construction (F)","All employees","Number","55800"
"Employment","2012Q2","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2012Q2","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2012Q2","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2012Q3","Construction (F)","All employees","Number","57700"
"Employment","2012Q3","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2012Q3","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2012Q3","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2012Q4","Construction (F)","All employees","Number","57800"
"Employment","2012Q4","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2012Q4","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2012Q4","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2013Q1","Construction (F)","All employees","Number","52300"
"Employment","2013Q1","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2013Q1","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2013Q1","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2013Q2","Construction (F)","All employees","Number","59800"
"Employment","2013Q2","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2013Q2","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2013Q2","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2013Q3","Construction (F)","All employees","Number","60800"
"Employment","2013Q3","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2013Q3","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2013Q3","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2013Q4","Construction (F)","All employees","Number","58400"
"Employment","2013Q4","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2013Q4","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2013Q4","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2014Q1","Construction (F)","All employees","Number","58900"
"Employment","2014Q1","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2014Q1","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2014Q1","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2014Q2","Construction (F)","All employees","Number","62700"
"Employment","2014Q2","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2014Q2","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2014Q2","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2014Q3","Construction (F)","All employees","Number","67600"
"Employment","2014Q3","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2014Q3","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2014Q3","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2014Q4","Construction (F)","All employees","Number","69300"
"Employment","2014Q4","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2014Q4","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2014Q4","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2015Q1","Construction (F)","All employees","Number","73000"
"Employment","2015Q1","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2015Q1","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2015Q1","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2015Q2","Construction (F)","All employees","Number","75100"
"Employment","2015Q2","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2015Q2","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2015Q2","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2015Q3","Construction (F)","All employees","Number","77600"
"Employment","2015Q3","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2015Q3","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2015Q3","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2015Q4","Construction (F)","All employees","Number","77600"
"Employment","2015Q4","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2015Q4","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2015Q4","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2016Q1","Construction (F)","All employees","Number","81200"
"Employment","2016Q1","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2016Q1","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2016Q1","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2016Q2","Construction (F)","All employees","Number","87500"
"Employment","2016Q2","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2016Q2","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2016Q2","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2016Q3","Construction (F)","All employees","Number","87600"
"Employment","2016Q3","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2016Q3","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2016Q3","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2016Q4","Construction (F)","All employees","Number","90200"
"Employment","2016Q4","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2016Q4","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2016Q4","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2017Q1","Construction (F)","All employees","Number","94800"
"Employment","2017Q1","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2017Q1","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2017Q1","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2017Q2","Construction (F)","All employees","Number","93600"
"Employment","2017Q2","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2017Q2","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2017Q2","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2017Q3","Construction (F)","All employees","Number","91100"
"Employment","2017Q3","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2017Q3","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2017Q3","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2017Q4","Construction (F)","All employees","Number","95700"
"Employment","2017Q4","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2017Q4","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2017Q4","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2018Q1","Construction (F)","All employees","Number","98600"
"Employment","2018Q1","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2018Q1","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2018Q1","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2018Q2","Construction (F)","All employees","Number","105700"
"Employment","2018Q2","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2018Q2","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2018Q2","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2018Q3","Construction (F)","All employees","Number","109600"
"Employment","2018Q3","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2018Q3","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2018Q3","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2018Q4","Construction (F)","All employees","Number","106500"
"Employment","2018Q4","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2018Q4","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2018Q4","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2019Q1","Construction (F)","All employees","Number","105800"
"Employment","2019Q1","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2019Q1","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2019Q1","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2019Q2","Construction (F)","All employees","Number","111600"
"Employment","2019Q2","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2019Q2","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2019Q2","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2019Q3","Construction (F)","All employees","Number","111600"
"Employment","2019Q3","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2019Q3","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2019Q3","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2019Q4","Construction (F)","All employees","Number","113800"
"Employment","2019Q4","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2019Q4","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2019Q4","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2020Q1","Construction (F)","All employees","Number","112400"
"Employment","2020Q1","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2020Q1","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2020Q1","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2020Q2","Construction (F)","All employees","Number","95700"
"Employment","2020Q2","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2020Q2","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2020Q2","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2020Q3","Construction (F)","All employees","Number","107200"
"Employment","2020Q3","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2020Q3","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2020Q3","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2020Q4","Construction (F)","All employees","Number","106700"
"Employment","2020Q4","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2020Q4","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2020Q4","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2021Q1","Construction (F)","All employees","Number","99000"
"Employment","2021Q1","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2021Q1","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2021Q1","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2021Q2","Construction (F)","All employees","Number","99500"
"Employment","2021Q2","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2021Q2","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2021Q2","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2021Q3","Construction (F)","All employees","Number","112500"
"Employment","2021Q3","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2021Q3","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2021Q3","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2021Q4","Construction (F)","All employees","Number","124200"
"Employment","2021Q4","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2021Q4","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2021Q4","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2022Q1","Construction (F)","All employees","Number","125500"
"Employment","2022Q1","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2022Q1","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2022Q1","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2022Q2","Construction (F)","All employees","Number","127700"
"Employment","2022Q2","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2022Q2","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2022Q2","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2022Q3","Construction (F)","All employees","Number","134100"
"Employment","2022Q3","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2022Q3","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2022Q3","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Employment","2022Q4","Construction (F)","All employees","Number","127800"
"Employment","2022Q4","Construction (F)","Managers, professionals and associated professionals","Number",""
"Employment","2022Q4","Construction (F)","Clerical, sales and service employees","Number",""
"Employment","2022Q4","Construction (F)","Production, transport, craft and other manual workers","Number",""
"Average Weekly Earnings","2008Q1","Construction (F)","All employees","Euro","721.56"
"Average Weekly Earnings","2008Q1","Construction (F)","Managers, professionals and associated professionals","Euro","1157.95"
"Average Weekly Earnings","2008Q1","Construction (F)","Clerical, sales and service employees","Euro","560.85"
"Average Weekly Earnings","2008Q1","Construction (F)","Production, transport, craft and other manual workers","Euro","647.48"
"Average Weekly Earnings","2008Q2","Construction (F)","All employees","Euro","743.66"
"Average Weekly Earnings","2008Q2","Construction (F)","Managers, professionals and associated professionals","Euro","1193.23"
"Average Weekly Earnings","2008Q2","Construction (F)","Clerical, sales and service employees","Euro","564.46"
"Average Weekly Earnings","2008Q2","Construction (F)","Production, transport, craft and other manual workers","Euro","662.2"
"Average Weekly Earnings","2008Q3","Construction (F)","All employees","Euro","754.72"
"Average Weekly Earnings","2008Q3","Construction (F)","Managers, professionals and associated professionals","Euro","1207.03"
"Average Weekly Earnings","2008Q3","Construction (F)","Clerical, sales and service employees","Euro","577.85"
"Average Weekly Earnings","2008Q3","Construction (F)","Production, transport, craft and other manual workers","Euro","672.13"
"Average Weekly Earnings","2008Q4","Construction (F)","All employees","Euro","788.96"
"Average Weekly Earnings","2008Q4","Construction (F)","Managers, professionals and associated professionals","Euro","1215.52"
"Average Weekly Earnings","2008Q4","Construction (F)","Clerical, sales and service employees","Euro","589.49"
"Average Weekly Earnings","2008Q4","Construction (F)","Production, transport, craft and other manual workers","Euro","705.09"
"Average Weekly Earnings","2009Q1","Construction (F)","All employees","Euro","753.32"
"Average Weekly Earnings","2009Q1","Construction (F)","Managers, professionals and associated professionals","Euro","1190.79"
"Average Weekly Earnings","2009Q1","Construction (F)","Clerical, sales and service employees","Euro","552.18"
"Average Weekly Earnings","2009Q1","Construction (F)","Production, transport, craft and other manual workers","Euro","657.4"
"Average Weekly Earnings","2009Q2","Construction (F)","All employees","Euro","740.08"
"Average Weekly Earnings","2009Q2","Construction (F)","Managers, professionals and associated professionals","Euro","1158.31"
"Average Weekly Earnings","2009Q2","Construction (F)","Clerical, sales and service employees","Euro","538.79"
"Average Weekly Earnings","2009Q2","Construction (F)","Production, transport, craft and other manual workers","Euro","652.77"
"Average Weekly Earnings","2009Q3","Construction (F)","All employees","Euro","739.79"
"Average Weekly Earnings","2009Q3","Construction (F)","Managers, professionals and associated professionals","Euro","1125.16"
"Average Weekly Earnings","2009Q3","Construction (F)","Clerical, sales and service employees","Euro","502.26"
"Average Weekly Earnings","2009Q3","Construction (F)","Production, transport, craft and other manual workers","Euro","664.85"
"Average Weekly Earnings","2009Q4","Construction (F)","All employees","Euro","756.39"
"Average Weekly Earnings","2009Q4","Construction (F)","Managers, professionals and associated professionals","Euro","1212.58"
"Average Weekly Earnings","2009Q4","Construction (F)","Clerical, sales and service employees","Euro","523.39"
"Average Weekly Earnings","2009Q4","Construction (F)","Production, transport, craft and other manual workers","Euro","667.21"
"Average Weekly Earnings","2010Q1","Construction (F)","All employees","Euro","722.6"
"Average Weekly Earnings","2010Q1","Construction (F)","Managers, professionals and associated professionals","Euro","1036.4"
"Average Weekly Earnings","2010Q1","Construction (F)","Clerical, sales and service employees","Euro","528.81"
"Average Weekly Earnings","2010Q1","Construction (F)","Production, transport, craft and other manual workers","Euro","657.35"
"Average Weekly Earnings","2010Q2","Construction (F)","All employees","Euro","698.29"
"Average Weekly Earnings","2010Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2010Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2010Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2010Q3","Construction (F)","All employees","Euro","661.79"
"Average Weekly Earnings","2010Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2010Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2010Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2010Q4","Construction (F)","All employees","Euro","765.8"
"Average Weekly Earnings","2010Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2010Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2010Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2011Q1","Construction (F)","All employees","Euro","665.26"
"Average Weekly Earnings","2011Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2011Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2011Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2011Q2","Construction (F)","All employees","Euro","702.72"
"Average Weekly Earnings","2011Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2011Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2011Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2011Q3","Construction (F)","All employees","Euro","708.59"
"Average Weekly Earnings","2011Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2011Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2011Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2011Q4","Construction (F)","All employees","Euro","662.4"
"Average Weekly Earnings","2011Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2011Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2011Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q1","Construction (F)","All employees","Euro","655.12"
"Average Weekly Earnings","2012Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q2","Construction (F)","All employees","Euro","655.98"
"Average Weekly Earnings","2012Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q3","Construction (F)","All employees","Euro","712.93"
"Average Weekly Earnings","2012Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2012Q4","Construction (F)","All employees","Euro","704.06"
"Average Weekly Earnings","2012Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2012Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2012Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2013Q1","Construction (F)","All employees","Euro","639.34"
"Average Weekly Earnings","2013Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2013Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2013Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2013Q2","Construction (F)","All employees","Euro","698.28"
"Average Weekly Earnings","2013Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2013Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2013Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2013Q3","Construction (F)","All employees","Euro","708.73"
"Average Weekly Earnings","2013Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2013Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2013Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2013Q4","Construction (F)","All employees","Euro","731.45"
"Average Weekly Earnings","2013Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2013Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2013Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q1","Construction (F)","All employees","Euro","698.78"
"Average Weekly Earnings","2014Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q2","Construction (F)","All employees","Euro","743.65"
"Average Weekly Earnings","2014Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q3","Construction (F)","All employees","Euro","707.36"
"Average Weekly Earnings","2014Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2014Q4","Construction (F)","All employees","Euro","754.13"
"Average Weekly Earnings","2014Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2014Q4","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2014Q4","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2015Q1","Construction (F)","All employees","Euro","695.27"
"Average Weekly Earnings","2015Q1","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2015Q1","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2015Q1","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2015Q2","Construction (F)","All employees","Euro","705.67"
"Average Weekly Earnings","2015Q2","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2015Q2","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2015Q2","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2015Q3","Construction (F)","All employees","Euro","698.43"
"Average Weekly Earnings","2015Q3","Construction (F)","Managers, professionals and associated professionals","Euro",""
"Average Weekly Earnings","2015Q3","Construction (F)","Clerical, sales and service employees","Euro",""
"Average Weekly Earnings","2015Q3","Construction (F)","Production, transport, craft and other manual workers","Euro",""
"Average Weekly Earnings","2015Q4","Construction (F)","All employees","Euro","748.14"
"Average Weekly Earnings","2015Q4","Construction (F)","Managers, professionals and associated professionals","Euro",""
